wave,file,sha256,status,replaced_by,verdict_note,installed_by
asset-trial,asset-trial/trial-v1/assets/asset-comparison.png,d2c3ede2057cc927514c5cc74bb4edad6647495ade4cf54d7fd2de3a9d1a3c21,candidate,,판정표에 없음 — 판정 필요,
asset-trial,asset-trial/trial-v1/assets/baseline/grass.png,e147750c2a0136f20a204aadcc666c861e06bd43094ca91ed3a02cfaeb69fb75,candidate,,판정표에 없음 — 판정 필요,
asset-trial,asset-trial/trial-v1/assets/baseline/house_l0.png,900db13bfa53896ba4f813a1d5cf1e939acd27d174e6c441226dcea8a278614e,candidate,,판정표에 없음 — 판정 필요,
asset-trial,asset-trial/trial-v1/assets/baseline/tree_oak_large.png,79874deb41d142dd0ec2e2f891df6e943d27e9d506da9eeca53c9457c1b94056,candidate,,판정표에 없음 — 판정 필요,
asset-trial,asset-trial/trial-v1/assets/candidates/grass.png,86332f0ed37e93811f2ffc6d5043da5750fa4a3f11bf5745ca422f54dbcdb975,candidate,,판정표에 없음 — 판정 필요,
asset-trial,asset-trial/trial-v1/assets/candidates/house_l0.png,38c2201a93274836474888e1bee6be1b321f470faa713f3d370e7281f88b5809,candidate,,판정표에 없음 — 판정 필요,
asset-trial,asset-trial/trial-v1/assets/candidates/tree_oak_large.png,532fef39052f4dc62bdd140802e6640b1c7a459faef2e54ddb1913258d84366f,candidate,,판정표에 없음 — 판정 필요,
asset-trial,asset-trial/trial-v1/assets/comparison.png,a635252762264959598fc7fce615fe73c41f27c7b88fbd51a89095d5e4e76854,candidate,,판정표에 없음 — 판정 필요,
asset-trial,asset-trial/trial-v1/assets/evidence/baseline-1440-hover.png,1bfccc07b9b9d61729b65b71515dc42efdb38de2af44301e067ee136a5336cb3,candidate,,판정표에 없음 — 판정 필요,
asset-trial,asset-trial/trial-v1/assets/evidence/baseline-1440-outline.png,8d1cbcf636715800584eb496bd7866b34fb7e039e383bf34cc56712b0aa6068c,candidate,,판정표에 없음 — 판정 필요,
asset-trial,asset-trial/trial-v1/assets/evidence/baseline-1440.png,6f2ada943e85ebc1a1bab34aa757a9cafa51533ba78d913b1df01e4a5ae150a2,candidate,,판정표에 없음 — 판정 필요,
asset-trial,asset-trial/trial-v1/assets/evidence/baseline-375.png,e65a3a253e00289fe8297e18f90de5b2484fa9f764eef6f9fc6564d9970552e1,candidate,,판정표에 없음 — 판정 필요,
asset-trial,asset-trial/trial-v1/assets/evidence/baseline-768.png,3e82ef5ca767a776ec0210281ac432f01aa5a892461e2ac900892bf36d8b49c3,candidate,,판정표에 없음 — 판정 필요,
asset-trial,asset-trial/trial-v1/assets/evidence/baseline-grass-3x3.png,ff241f295b460034475079a82dd3ca1d9627339d22ae6326762d95021b8d244d,candidate,,판정표에 없음 — 판정 필요,
asset-trial,asset-trial/trial-v1/assets/evidence/candidate-1440-hover.png,ae2b3a6465c7d52fb287ecc38507dbb3fa4d1e72c4984726de996fffb81b04a0,candidate,,판정표에 없음 — 판정 필요,
asset-trial,asset-trial/trial-v1/assets/evidence/candidate-1440-outline.png,a944a6c6a46431b67bcc1be74501050141ed5445ae4c036474a188933186fc58,candidate,,판정표에 없음 — 판정 필요,
asset-trial,asset-trial/trial-v1/assets/evidence/candidate-1440.png,bd04e7f3ab8bfd4aa86b2877307040a9ba85dc2443bd3533d03b2425558d7268,candidate,,판정표에 없음 — 판정 필요,
asset-trial,asset-trial/trial-v1/assets/evidence/candidate-375.png,8fa6326edfb11a3604aec24ee857bd00995f14995d1a297e49bd83f868951618,candidate,,판정표에 없음 — 판정 필요,
asset-trial,asset-trial/trial-v1/assets/evidence/candidate-768.png,7d1c52a1cabdcfe68d6605a4bbaf3ebedbe36c6a9dcc825d3a92ab601b29928e,candidate,,판정표에 없음 — 판정 필요,
asset-trial,asset-trial/trial-v1/assets/evidence/candidates-grass-3x3.png,9bb2ec05ac5254865ac77c29580472eb73d9f4d10625f73c44c056fb9093e163,candidate,,판정표에 없음 — 판정 필요,
asset-trial,asset-trial/trial-v1/assets/raw/grass.png,ad3318bdb969f0729aa9ccf09b3375698c5b6c0c7095b2d61d0478455893062d,candidate,,판정표에 없음 — 판정 필요 · C2PA caBX 포함(받은 바이트 그대로),
asset-trial,asset-trial/trial-v1/assets/raw/house.png,da4dde46df40a04235b616b19412c6c34abfdc0d8e9e7bcfa7f35cb59b570fb7,candidate,,판정표에 없음 — 판정 필요 · C2PA caBX 포함(받은 바이트 그대로),
asset-trial,asset-trial/trial-v1/assets/raw/oak.png,d49b5886aa93f287811a1ff060134b1525934ef31d9d7c44a3332cc0a8c688b4,candidate,,판정표에 없음 — 판정 필요 · C2PA caBX 포함(받은 바이트 그대로),
d1,d1/assets-20260924/proofs/checks/01-strip-repeat.png,dcd3cad9cd3bca793b3c849966fc8867191b6804efb0fc91e17db829c80140a8,candidate,,판정 기록 없음 — 본선 public/assets에서 같은 바이트 미발견,
d1,d1/assets-20260924/proofs/checks/02-game-scale-preview.png,9921128057269a2d0e699f3336f6ca55a9bfacfb106dffbc77e2601c06584bd4,candidate,,판정 기록 없음 — 본선 public/assets에서 같은 바이트 미발견,
